🕘️更新时间,#genre#
2025-05-06 16:24:36,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8

📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV-1,http://nas.hssvm.com:8888/udp/225.1.1.120:5002
CCTV-1,http://60.184.45.124:8888/rtp/233.50.201.118:5140
CCTV-1,http://ycsj.aguihome.com:4022/udp/233.50.200.99:5140
CCTV-1,http://ycsj.aguihome.com:4022/udp/233.50.200.143:5140
CCTV-1,http://171.15.18.199:8180/TV00000000000000000001@HHZT
CCTV-1,http://wouu.net:9977/udp/239.93.0.184:5140
CCTV-1,http://59.188.94.126:35455/bptv/10000100000000050000000003248324.m3u8
CCTV-2,http://202.168.187.208:9089/tsfile/live/0002_1.m3u8
CCTV-2,http://nas.hssvm.com:8888/udp/225.1.1.133:5002
CCTV-2,http://171.15.18.199:8180/TV00000000000000000002@HHZT
CCTV-2,http://wouu.net:9977/udp/239.93.1.23:6000
CCTV-2,http://59.188.94.126:35455/bptv/10000100000000050000000003407051.m3u8
CCTV-3,http://202.168.187.208:9089/tsfile/live/0003_1.m3u8
CCTV-3,http://171.15.18.199:8180/TV00000000000000000003@HHZT
CCTV-3,http://ycsj.aguihome.com:4022/udp/233.50.200.107:5140
CCTV-3,http://wouu.net:9977/udp/239.93.1.11:2223
CCTV-3,http://113.109.250.108:9999/udp/239.77.0.169:5146
CCTV-4,http://ycsj.aguihome.com:4022/udp/233.50.200.101:5140
CCTV-4,http://171.15.18.199:8180/TV00000000000000000004@HHZT
CCTV-4,http://wouu.net:9977/udp/239.93.1.105:5140
CCTV-4,http://nas.hssvm.com:8888/udp/225.1.1.150:5002
CCTV-4,http://113.109.250.108:9999/udp/239.77.0.78:5146
CCTV-5,http://221.13.235.5:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://202.168.187.208:9089/tsfile/live/0005_1.m3u8
CCTV-5,http://itv.iptv1688.top:2016/itv.php?id=CCTV5
CCTV-5,http://ycsj.aguihome.com:4022/udp/233.50.200.108:5140
CCTV-5,http://113.109.250.108:9999/udp/239.77.0.170:5146
CCTV-5,http://171.15.18.199:8180/TV00000000000000000005@HHZT
CCTV-5,http://wouu.net:9977/udp/239.93.1.36:8004
CCTV-5,http://wouu.net:9977/udp/239.93.42.37:5140
CCTV-5+,http://114.252.236.205:8000/rtp/239.3.1.130:8004
CCTV-5+,http://113.109.250.108:9999/udp/239.77.0.87:5146
CCTV-5+,http://nas.hssvm.com:8888/udp/225.1.1.121:5002
CCTV-5+,http://59.188.94.126:35455/bptv/10000100000000050000000003248330.m3u8
CCTV-6,http://113.109.250.108:9999/udp/239.77.0.171:5146
CCTV-6,http://171.15.18.199:8180/TV00000000000000000006@HHZT
CCTV-6,http://wouu.net:9977/udp/239.93.1.13:2226
CCTV-6,http://nas.hssvm.com:8888/udp/225.1.1.195:5002
CCTV-7,https://www.freetv.top/migu/673168121.m3u8?migutoken=3253222269368c440aa1d23dba86c186a7b73abdea3890faf72e3d720844f8f1d3adc2b18ed047dbb3eff1a6c5d9379fad37d1f8a380d0e7c69e9ad6eb41709cf92077125fc0bded4cfd47808b
CCTV-7,https://www.freetv.top/migu/673168121.m3u8?migutoken=11284a6f3b3b2fa213fe083e46e96de1056fd7727d3d02e2cb4c2eb6c9994c51a6d20f333eba2d4739cee8fe8d82b5a8ed95fbfa87d5df4d792df3f436e23df7ce80f601e526e1e967f1479a14
CCTV-7,https://www.freetv.top/migu/673168121.m3u8?migutoken=a878b713604abd82c57cce75de174e0284d3f101e21d0c3e362670e4b5a5e75d9b42846e5e0adf92c1ad15c63d60934f3e68c25f787bc0665d12acde75a6db4761278e79b762292ed5b5a2fae3
CCTV-7,http://113.109.250.108:9999/udp/239.77.0.138:5146
CCTV-7,http://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF
CCTV-7,http://nas.hssvm.com:8888/udp/225.1.1.138:5002
CCTV-7,http://wouu.net:9977/udp/239.93.1.67:5140
CCTV-8,http://221.13.235.5:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://nas.hssvm.com:8888/udp/225.1.1.196:5002
CCTV-8,http://171.15.18.199:8180/TV00000000000000000008@HHZT
CCTV-8,http://wouu.net:9977/udp/239.93.42.39:5140
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://113.109.250.108:9999/udp/239.77.0.135:5146
CCTV-9,http://ycsj.aguihome.com:4022/udp/233.50.200.23:5140
CCTV-9,http://171.15.18.199:8180/TV00000000000000000009@HHZT
CCTV-9,http://wouu.net:9977/udp/239.93.1.24:5140
CCTV-9,http://125.82.168.238:8888/rtp/235.254.198.58:1508
CCTV-9,http://59.188.94.126:35455/bptv/10000100000000050000000005002664.m3u8
CCTV-10,http://ycsj.aguihome.com:4022/udp/233.50.200.22:5140
CCTV-10,http://125.82.171.210:8888/rtp/235.254.198.6:1300
CCTV-10,http://wouu.net:9977/udp/239.93.1.28:5140
CCTV-11,http://221.13.235.5:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://113.109.250.108:9999/udp/239.77.1.238:5146
CCTV-11,http://112.122.32.140:85/tsfile/live/0011_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://171.15.18.199:8180/TV00000000000000000011@HHZT
CCTV-11,http://wouu.net:9977/udp/239.93.0.102:5140
CCTV-12,http://221.13.235.5:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://113.109.250.108:9999/udp/239.77.1.109:5146
CCTV-12,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=195738&tk=6949f8ce7202
CCTV-12,http://nas.hssvm.com:8888/udp/225.1.1.142:5002
CCTV-12,http://125.82.171.210:8888/rtp/235.254.198.60:1516
CCTV-12,http://110.80.17.38:9901/tsfile/live/0012_1.m3u8
CCTV-12,http://wouu.net:9977/udp/239.93.1.30:8124
CCTV-12,http://113.109.250.108:9999/udp/239.77.0.136:5146
CCTV-13,http://221.13.235.5:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=d0f621&tk=6949f8ce7202
CCTV-13,http://171.15.18.199:8180/TV00000000000000000013@HHZT
CCTV-13,http://wouu.net:9977/udp/239.93.0.66:5140
CCTV-14,http://113.109.250.108:9999/udp/239.77.0.133:5146
CCTV-14,http://171.15.18.199:8180/TV00000000000000000014@HHZT
CCTV-14,http://wouu.net:9977/udp/239.93.1.29:6000
CCTV-14,http://113.109.250.108:9999/udp/239.77.1.161:5146
CCTV-16,http://www.lizhinas.top:1009/rtp/239.252.220.237:5140
CCTV-16,http://59.188.94.126:35455/bptv/10000100000000050000000004972559.m3u8
CCTV-16,http://113.109.250.108:9999/udp/239.77.0.165:5146
CCTV-16,http://125.89.163.44:8888/udp/239.77.0.165:5146
CCTV-17,http://113.109.250.108:9999/udp/239.77.1.121:5146
CCTV-17,http://171.15.18.199:8180/TV00000000000000000017@HHZT
CCTV-17,http://wouu.net:9977/udp/239.93.0.92:5140

💰央视付费频道,#genre#

📡卫视频道,#genre#
广东卫视,http://nas.hssvm.com:8888/udp/225.1.1.116:5002
广东卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=be728e&tk=6949f8ce7202
广东卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.149:5140
广东卫视,http://113.109.250.108:9999/udp/239.77.1.2:5146
广东卫视,http://113.109.250.108:9999/udp/239.77.1.19:5146
广东卫视,http://171.15.18.199:8180/TV00000000000000000031@HHZT
浙江卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003873464.m3u8
浙江卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=f30e23&tk=6949f8ce7202
